A.NET                     |wikipedia.org/wiki/A_Sharp_(.NET)
PPL                       |wikipedia.org/wiki/Polymorphic_Programming_Language
Processing                |wikipedia.org/wiki/Processing_(programming_language)
Processing.js             |wikipedia.org/wiki/Processing.js
Prograph                  |wikipedia.org/wiki/Prograph
Project Verona            |wikipedia.org/wiki/Project_Verona
Prolog                    |wikipedia.org/wiki/Prolog
PROMAL                    |wikipedia.org/wiki/PROMAL
Promela                   |wikipedia.org/wiki/Promela
PROSE modeling language   |wikipedia.org/wiki/PROSE_modeling_language
PROTEL                    |wikipedia.org/wiki/Protel
Pro*C                     |wikipedia.org/wiki/Pro*C
Pure                      |wikipedia.org/wiki/Pure_(programming_language)
Pure Data                 |wikipedia.org/wiki/Pure_Data
PureScript                |wikipedia.org/wiki/PureScript
PWCT                      |wikipedia.org/wiki/PWCT
Python                    |wikipedia.org/wiki/Python_(programming_language)
Q                         |wikipedia.org/wiki/Q_(programming_language_from_Kx_Systems)
Q#                        |wikipedia.org/wiki/Q_Sharp
Qalb                      |wikipedia.org/wiki/Qalb_(programming_language)
Quantum Computation Lang  |wikipedia.org/wiki/Quantum_Computation_Language
QtScript                  |wikipedia.org/wiki/QtScript
QuakeC                    |wikipedia.org/wiki/QuakeC
QPL                       |wikipedia.org/wiki/Quantum_programming
.QL                       |wikipedia.org/wiki/.QL
R                         |wikipedia.org/wiki/R_(programming_language)
R++                       |wikipedia.org/wiki/R%2B%2B
Racket                    |wikipedia.org/wiki/Racket_(programming_language)
Raku                      |wikipedia.org/wiki/Raku_(programming_language)
RAPID                     |wikipedia.org/wiki/RAPID
Rapira                    |wikipedia.org/wiki/Rapira
Ratfiv                    |wikipedia.org/wiki/Ratfiv
Ratfor                    |wikipedia.org/wiki/Ratfor
rc                        |wikipedia.org/wiki/Rc_(Unix_shell)
Reason                    |wikipedia.org/wiki/Reason_(programming_language)
REBOL                     |wikipedia.org/wiki/REBOL
Red                       |wikipedia.org/wiki/Red_(programming_language)
Redcode                   |wikipedia.org/wiki/Core_War
REFAL                     |wikipedia.org/wiki/REFAL
REXX                      |wikipedia.org/wiki/REXX
Ring                      |wikipedia.org/wiki/Ring_(programming_language)
Rocq                      |wikipedia.org/wiki/Rocq
ROOP                      |wikipedia.org/wiki/ROOP_(programming_language)
RPG                       |wikipedia.org/wiki/IBM_RPG
RPL                       |wikipedia.org/wiki/RPL_(programming_language)
RSL                       |wikipedia.org/wiki/Robot_Battle#Robot_scripting_language
RTL/2                     |wikipedia.org/wiki/RTL/2
Ruby                      |wikipedia.org/wiki/Ruby_(programming_language)
Rust                      |wikipedia.org/wiki/Rust_(programming_language)
S                         |wikipedia.org/wiki/S_(programming_language)
S2                        |wikipedia.org/wiki/S2_(programming_language)
S3                        |wikipedia.org/wiki/S3_(programming_language)
S-Lang                    |wikipedia.org/wiki/S-Lang
S-PLUS                    |wikipedia.org/wiki/S-PLUS
SA-C                      |wikipedia.org/wiki/SA-C_(programming_language)
SabreTalk                 |wikipedia.org/wiki/SabreTalk
SAIL                      |wikipedia.org/wiki/SAIL_(programming_language)
SAKO                      |wikipedia.org/wiki/SAKO_(programming_language)
SAS                       |wikipedia.org/wiki/SAS_(software)
SASL                      |wikipedia.org/wiki/SASL_(programming_language)
Sather                    |wikipedia.org/wiki/Sather
Sawzall                   |wikipedia.org/wiki/Sawzall_(programming_language)
Scala                     |wikipedia.org/wiki/Scala_(programming_language)
Scheme                    |wikipedia.org/wiki/Scheme_(programming_language)
Scilab                    |wikipedia.org/wiki/Scilab
Scratch                   |wikipedia.org/wiki/Scratch_(programming_language)
ScratchJr                 |wikipedia.org/wiki/ScratchJr
Script.NET                |wikipedia.org/wiki/Script.NET
Sed                       |wikipedia.org/wiki/Sed
Seed7                     |wikipedia.org/wiki/Seed7
Self                      |wikipedia.org/wiki/Self_(programming_language)
SenseTalk                 |wikipedia.org/wiki/SenseTalk
SequenceL                 |wikipedia.org/wiki/SequenceL
Serpent                   |wikipedia.org/wiki/Ethereum#Programming_languages
SETL                      |wikipedia.org/wiki/SETL
Short Code                |wikipedia.org/wiki/Short_Code_(computer_language)
SIMPOL                    |wikipedia.org/wiki/Superbase_database#History
SIGNAL                    |wikipedia.org/wiki/SIGNAL_(programming_language)
SiMPLE                    |wikipedia.org/wiki/SiMPLE
SIMSCRIPT                 |wikipedia.org/wiki/SIMSCRIPT
Simula                    |wikipedia.org/wiki/Simula
Simulink                  |wikipedia.org/wiki/Simulink
SISAL                     |wikipedia.org/wiki/SISAL
SKILL                     |wikipedia.org/wiki/SKILL
SLIP                      |wikipedia.org/wiki/SLIP_(programming_language)
SMALL                     |wikipedia.org/wiki/SMALL
Smalltalk                 |wikipedia.org/wiki/Smalltalk
SML                       |wikipedia.org/wiki/Standard_ML
Strongtalk                |wikipedia.org/wiki/Strongtalk
Snap!                     |wikipedia.org/wiki/Snap!_(programming_language)
SNOBOL                    |wikipedia.org/wiki/SNOBOL
SPITBOL                   |wikipedia.org/wiki/SPITBOL_compiler
Snowball                  |wikipedia.org/wiki/Snowball_programming_language
SOL                       |wikipedia.org/wiki/Secure_Operations_Language
Solidity                  |wikipedia.org/wiki/Solidity
SOPHAEROS                 |wikipedia.org/wiki/SOPHAEROS
Source                    |wikipedia.org/wiki/Source_(programming_language)
SPARK                     |wikipedia.org/wiki/SPARK_(programming_language)
Speakeasy                 |wikipedia.org/wiki/Speakeasy_(computational_environment)
Speedcode                 |wikipedia.org/wiki/Speedcoding
SPIN                      |wikipedia.org/wiki/Parallax_Propeller
SP/k                      |wikipedia.org/wiki/SP/k
SPL                       |wikipedia.org/wiki/Systems_Programming_Language
SPS                       |wikipedia.org/wiki/IBM_1401_Symbolic_Programming_System
SQL                       |wikipedia.org/wiki/SQL
SQR                       |wikipedia.org/wiki/SQR
Squeak                    |wikipedia.org/wiki/Squeak
Squirrel                  |wikipedia.org/wiki/Squirrel_(programming_language)
SR                        |wikipedia.org/wiki/SR_(programming_language)
S/SL                      |wikipedia.org/wiki/S/SL_programming_language
Starlogo                  |wikipedia.org/wiki/Starlogo
Strand                    |wikipedia.org/wiki/Strand_(programming_language)
Structured Text           |wikipedia.org/wiki/Structured_Text
Stata                     |wikipedia.org/wiki/Stata
Stateflow                 |wikipedia.org/wiki/Stateflow
Subtext                   |wikipedia.org/wiki/Subtext_(programming_language)
SBL                       |wikipedia.org/wiki/Superbase_database
SuperCollider             |wikipedia.org/wiki/SuperCollider
Superplan                 |wikipedia.org/wiki/Superplan
SuperTalk                 |wikipedia.org/wiki/SuperTalk
Swift                     |wikipedia.org/wiki/Swift_(programming_language)
Swift                     |wikipedia.org/wiki/Swift_(parallel_scripting_language)
SYCL                      |wikipedia.org/wiki/SYCL
SYMPL                     |wikipedia.org/wiki/SYMPL
T                         |wikipedia.org/wiki/T_(programming_language)
TACL                      |wikipedia.org/wiki/TACL_(programming_language)
TADS                      |wikipedia.org/wiki/TADS
TAL                       |wikipedia.org/wiki/Transaction_Application_Language
tcl                       |wikipedia.org/wiki/Tcl
Tea                       |wikipedia.org/wiki/Tea_(programming_language)
TECO                      |wikipedia.org/wiki/Text_Editor_and_Corrector
TELCOMP                   |wikipedia.org/wiki/TELCOMP
TeX                       |wikipedia.org/wiki/TeX
TIE                       |wikipedia.org/wiki/Tensilica_Instruction_Extension
TMG                       |wikipedia.org/wiki/TMG_(language)
Tom                       |wikipedia.org/wiki/Tom_(pattern_matching_language)
Toi                       |wikipedia.org/wiki/Toi_(programming_language)
Topspeed                  |wikipedia.org/wiki/Clarion_(programming_language)
TPU                       |wikipedia.org/wiki/Text_Processing_Utility
Trac                      |wikipedia.org/wiki/TRAC_(programming_language)
TTM                       |wikipedia.org/wiki/TTM_(programming_language)
T-SQL                     |wikipedia.org/wiki/Transact-SQL
Transcript                |wikipedia.org/wiki/Transcript_(programming_language)
TTCN                      |wikipedia.org/wiki/TTCN
Turing                    |wikipedia.org/wiki/Turing_(programming_language)
TUTOR                     |wikipedia.org/wiki/TUTOR
TXL                       |wikipedia.org/wiki/TXL_(programming_language)
TypeScript                |wikipedia.org/wiki/TypeScript
Tynker                    |wikipedia.org/wiki/Tynker
Ubercode                  |wikipedia.org/wiki/Ubercode
UCSD Pascal               |wikipedia.org/wiki/UCSD_Pascal
Umple                     |wikipedia.org/wiki/Umple
Unicon                    |wikipedia.org/wiki/Unicon_(programming_language)
Uniface                   |wikipedia.org/wiki/Uniface_(programming_language)
UNITY                     |wikipedia.org/wiki/UNITY_(programming_language)
UnrealScript              |wikipedia.org/wiki/UnrealScript
V                         |wikipedia.org/wiki/V_(programming_language)
Vala                      |wikipedia.org/wiki/Vala_(programming_language)
Verse                     |wikipedia.org/wiki/Verse_(programming_language)
Vim script                |wikipedia.org/wiki/Vim_(text_editor)#Vim_script
Viper                     |wikipedia.org/wiki/Ethereum#Smart_contracts
Visual DataFlex           |wikipedia.org/wiki/Visual_DataFlex
Visual DialogScript       |wikipedia.org/wiki/Visual_DialogScript
Visual FoxPro             |wikipedia.org/wiki/Visual_FoxPro
Visual J++                |wikipedia.org/wiki/Visual_J%2B%2B
Visual LISP               |wikipedia.org/wiki/AutoLISP
Visual Objects            |wikipedia.org/wiki/Visual_Objects
Visual Prolog             |wikipedia.org/wiki/Visual_Prolog
WATFIV                    |wikipedia.org/wiki/WATFIV
WebAssembly               |wikipedia.org/wiki/WebAssembly
Whiley                    |wikipedia.org/wiki/Whiley_(programming_language)
Wolfram Language          |wikipedia.org/wiki/Wolfram_Language
Wyvern                    |wikipedia.org/wiki/Wyvern_(programming_language)
X++                       |wikipedia.org/wiki/X%2B%2B
X10                       |wikipedia.org/wiki/X10_(programming_language)
xBase++                   |wikipedia.org/wiki/XBase%2B%2B
XBL                       |wikipedia.org/wiki/XBL
XC                        |wikipedia.org/wiki/XC_(programming_language)
XMOS architecture         |wikipedia.org/wiki/XCore_XS1
XL                        |wikipedia.org/wiki/XL_(programming_language)
Xojo                      |wikipedia.org/wiki/Xojo
XOTcl                     |wikipedia.org/wiki/XOTcl
Xod                       |wikipedia.org/wiki/XOD_(programming_language)
XPL                       |wikipedia.org/wiki/XPL
XPL0                      |wikipedia.org/wiki/XPL0
XQuery                    |wikipedia.org/wiki/XQuery
XSB                       |wikipedia.org/wiki/XSB
XSLT                      |wikipedia.org/wiki/XSLT
Xtend                     |wikipedia.org/wiki/Xtend
Yorick                    |wikipedia.org/wiki/Yorick_(programming_language)
YQL                       |wikipedia.org/wiki/YQL_(programming_language)
Z++                       |wikipedia.org/wiki/Z%2B%2B
Z shell                   |wikipedia.org/wiki/Z_shell
Zebra                     |wikipedia.org/wiki/Zebra_(programming_language)
ZetaLisp                  |wikipedia.org/wiki/ZetaLisp
Zig                       |wikipedia.org/wiki/Zig_(programming_language)
Zonnon                    |wikipedia.org/wiki/Zonnon
ZOPL                      |wikipedia.org/wiki/ZOPL
ZPL                       |wikipedia.org/wiki/ZPL_(programming_language)
